Issue_id_Summary,Issue id,Summary,clean_summary,cluster
45114	illegal options combinations in assignments for turnItin,45114,illegal options combinations in assignments for turnItin,illegal option combination assignment turnitin,6
53685	Duplicate Assignment changes value of Gradebook,53685,Duplicate Assignment changes value of Gradebook,duplicate assignment change value gradebook,6
49417	Tabs in Preferences tool have extra padding,49417,Tabs in Preferences tool have extra padding,tab preference tool extra padding,10
12379	Evaluation report not showing Overall Average of Means. ,12379,Evaluation report not showing Overall Average of Means. ,evaluation report showing overall average mean,20
31927	getInternalDirectUrlToUserConnections takes you to user's profile homepage.,31927,getInternalDirectUrlToUserConnections takes you to user's profile homepage.,getinternaldirecturltouserconnections take user profile homepage,18
27491	getInternalDirectUrlToUserWall doesn't take you to the user's wall,27491,getInternalDirectUrlToUserWall doesn't take you to the user's wall,getinternaldirecturltouserwall take user wall,18
22997	Assign appropriate permissions for Sign Up tool,22997,Assign appropriate permissions for Sign Up tool,assign appropriate permission sign tool,10
62263	Create Duplicate Site Webservice,62263,Create Duplicate Site Webservice,create duplicate site webservice,14
62259	Index the sakai_event table,62259,Index the sakai_event table,index sakai_event table,10
62255	Changing a profile photo will override Gravatar configuration,62255,Changing a profile photo will override Gravatar configuration,changing profile photo override gravatar configuration,18
27484	Wrong Text in Submit Button when resubmitting an assignment,27484,Wrong Text in Submit Button when resubmitting an assignment,wrong text submit button resubmitting assignment,6
"27478	""Matching """"match"""" when written in more than once will categorize it as a separate category.""",27478,"""Matching """"match"""" when written in more than once will categorize it as a separate category.""",matching match written categorize separate category,10
53671	Forums / students ability to add topics can lead to instructor limited access,53671,Forums / students ability to add topics can lead to instructor limited access,forum student ability add topic lead instructor limited access,2
40762	dashboard buttons covering underline when toggled,40762,dashboard buttons covering underline when toggled,dashboard button covering underline toggled,10
58035	Hovering over menu options of collapsed left menu bar leaves text unclickable and behind other UI pieces,58035,Hovering over menu options of collapsed left menu bar leaves text unclickable and behind other UI pieces,hovering menu option collapsed left menu bar leaf text unclickable behind ui piece,10
58018	Announcements View dropdown box cut off ,58018,Announcements View dropdown box cut off ,announcement view dropdown box cut,8
53717	Collapse Tool on Tab Panel doesn't show as clickable on mouseover,53717,Collapse Tool on Tab Panel doesn't show as clickable on mouseover,collapse tool tab panel show clickable mouseover,10
22972	No Print to printer option,22972,No Print to printer option,print printer option,10
40738	Portal menu width too small,40738,Portal menu width too small,portal menu width small,10
36303	Honor Pledge does not show up in Test and Quizzes,36303,Honor Pledge does not show up in Test and Quizzes,honor pledge show test quiz,13
53702	Lessons content upload size max limit check before uploading to temp,53702,Lessons content upload size max limit check before uploading to temp,lesson content upload size max limit check uploading temp,1
40733	Content Review error when trying to create assignment doesn't disappear,40733,Content Review error when trying to create assignment doesn't disappear,content review error trying create assignment disappear,6
49385	Button Layout in Mercury Calendar,49385,Button Layout in Mercury Calendar,button layout mercury calendar,0
36287	Alt text for many left menu bar items is inaccurate/unrelated,36287,Alt text for many left menu bar items is inaccurate/unrelated,alt text many left menu bar item inaccurate unrelated,10
49381	Null Pointer Exception when navigating to newly created page via URL,49381,Null Pointer Exception when navigating to newly created page via URL,null pointer exception navigating newly created page via url,19
"45097	""""""Add Gradebook Item"""" button returns error that the function localDatePicker is undefined """,45097,"""""""Add Gradebook Item"""" button returns error that the function localDatePicker is undefined """,add gradebook item button return error function localdatepicker undefined,2
40717	Tools List / Site List hidden behind siteHierarchy yet still clickable,40717,Tools List / Site List hidden behind siteHierarchy yet still clickable,tool list site list hidden behind sitehierarchy yet still clickable,14
31859	CSS Misalignment - Main Page,31859,CSS Misalignment - Main Page,cs misalignment main page,16
27489	checkboxes in “Options” column on Home tab partially hidden,27489,checkboxes in “Options” column on Home tab partially hidden,checkboxes option column home tab partially hidden,10
22951	Top navigation tabs are misaligned on Assignments page,22951,Top navigation tabs are misaligned on Assignments page,top navigation tab misaligned assignment page,6
62249	Calendar List of Events Not Properly Labeled,62249,Calendar List of Events Not Properly Labeled,calendar list event properly labeled,13
45095	Duplicate Site button covered by Link and Help buttons,45095,Duplicate Site button covered by Link and Help buttons,duplicate site button covered link help button,15
"36278	""Quote Characters (' and """") Not Handled Properly in Sites""",36278,"""Quote Characters (' and """") Not Handled Properly in Sites""",quote character handled properly site,14
22945	Number of messages unread/posted not displayed in Topic,22945,Number of messages unread/posted not displayed in Topic,number message unread posted displayed topic,3
62302	Clean (security filter) HTML mail as it leaves Sakai,62302,Clean (security filter) HTML mail as it leaves Sakai,clean security filter html mail leaf sakai,0
36310	Signup tool performance issues,36310,Signup tool performance issues,signup tool performance issue,10
57952	LTI (iFrame): Extended Matching Items. Removing option goes back to assesment Edit,57952,LTI (iFrame): Extended Matching Items. Removing option goes back to assesment Edit,lti iframe extended matching item removing option go back assesment edit,10
27441	Incorrect sequence values can lead to a variety of problems,27441,Incorrect sequence values can lead to a variety of problems,incorrect sequence value lead variety problem,10
36296	Add the functionality to have a topic be visible BUT not accessible until a specified date.,36296,Add the functionality to have a topic be visible BUT not accessible until a specified date.,add functionality topic visible accessible specified date,12
57929	Link & Help buttons in Site Info overlap the tab navigation links,57929,Link & Help buttons in Site Info overlap the tab navigation links,link help button site info overlap tab navigation link,15
31881	Cannot create worksite - error on clicking worksite setup,31881,Cannot create worksite - error on clicking worksite setup,cannot create worksite error clicking worksite setup,0
53695	Created course site is redirected to error page in Sakai 11.,53695,Created course site is redirected to error page in Sakai 11.,created course site redirected error page sakai,19
"53686	""""""Move thread(s)"""" link is visible to students in Forums""",53686,"""""""Move thread(s)"""" link is visible to students in Forums""",move thread link visible student forum,2
45064	content loss on image paste,45064,content loss on image paste,content loss image paste,15
22991	Forums / grading screen will not close in IE,22991,Forums / grading screen will not close in IE,forum grading screen close ie,2
57953	Incorrect forum message table sort by date column,57953,Incorrect forum message table sort by date column,incorrect forum message table sort date column,12
40750	Bad choice of lock object,40750,Bad choice of lock object,bad choice lock object,4
36324	Bad choice of lock object,36324,Bad choice of lock object,bad choice lock object,4
31851	Bad choice of lock object,31851,Bad choice of lock object,bad choice lock object,4
27389	Indefinite wait,27389,Indefinite wait,indefinite wait,10
22987	Check of thread-shared field evades lock acquisition,22987,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
62287	Check of thread-shared field evades lock acquisition,62287,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
57946	Check of thread-shared field evades lock acquisition,57946,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
49388	Check of thread-shared field evades lock acquisition,49388,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
45056	Check of thread-shared field evades lock acquisition,45056,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
40746	Check of thread-shared field evades lock acquisition,40746,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
36323	Check of thread-shared field evades lock acquisition,36323,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
31846	Check of thread-shared field evades lock acquisition ,31846,Check of thread-shared field evades lock acquisition ,check thread shared field evades lock acquisition,4
27385	Check of thread-shared field evades lock acquisition,27385,Check of thread-shared field evades lock acquisition,check thread shared field evades lock acquisition,4
22978	Jump to last saved question after resuming assessment,22978,Jump to last saved question after resuming assessment,jump last saved question resuming assessment,11
12986	Stacktrace and parameter error with too many groups,12986,Stacktrace and parameter error with too many groups,stacktrace parameter error many group,7
12087	Assigning evaluationt to sites doesn't make evaluation available to students,12087,Assigning evaluationt to sites doesn't make evaluation available to students,assigning evaluationt site make evaluation available student,3
45044	Reproducible string out of bounds error - Gradebook,45044,Reproducible string out of bounds error - Gradebook,reproducible string bound error gradebook,2
40731	Reproducible String outofbounds error in JSF,40731,Reproducible String outofbounds error in JSF,reproducible string outofbounds error jsf,3
53641	Section Info: Category options not available,53641,Section Info: Category options not available,section info category option available,0
12544	Import Old evaluations data while upgrading to newer version,12544,Import Old evaluations data while upgrading to newer version,import old evaluation data upgrading newer version,3
62268	Preferences / reorder sites in customize tabs issue,62268,Preferences / reorder sites in customize tabs issue,preference reorder site customize tab issue,14
57981	CLONE - Profile image cannot be selected from Pictures if file type is .png,57981,CLONE - Profile image cannot be selected from Pictures if file type is .png,clone profile image cannot selected picture file type png,18
53630	Add elFinder support to Mneme,53630,Add elFinder support to Mneme,add elfinder support mneme,14
53621	NullPointerException because of missing ltiToolValues LTI_TITLE,53621,NullPointerException because of missing ltiToolValues LTI_TITLE,nullpointerexception missing ltitoolvalues lti_title,0
31854	Reimplement memberships synchronisation as an administrator triggered operation,31854,Reimplement memberships synchronisation as an administrator triggered operation,reimplement membership synchronisation administrator triggered operation,0
57959	Demo version needs a site to support large numbers of participants,57959,Demo version needs a site to support large numbers of participants,demo version need site support large number participant,14
45078	Question directions related to several questions.,45078,Question directions related to several questions.,question direction related several question,11
36277	Setting a default.copyright property has no effect,36277,Setting a default.copyright property has no effect,setting default copyright property effect,15
27430	Create new tables MFR_TOPIC_OPEN_FORUM_T and MFR_TOPIC_PRIVATE_FORUM_T to avoid null scans,27430,Create new tables MFR_TOPIC_OPEN_FORUM_T and MFR_TOPIC_PRIVATE_FORUM_T to avoid null scans,create new table mfr_topic_open_forum_t mfr_topic_private_forum_t avoid null scan,10
27428	Include image in exported assessments,27428,Include image in exported assessments,include image exported assessment,8
57935	Extra Permissions to hide or show the different site Info buttons with more granularity that the actual permissions do.,57935,Extra Permissions to hide or show the different site Info buttons with more granularity that the actual permissions do.,extra permission hide show different site info button granularity actual permission,14
53649	Note on Gradebook / Lessons interaction,53649,Note on Gradebook / Lessons interaction,note gradebook lesson interaction,1
62202	Can't click on student's name in forums if it contains an apostraphe PATCH PROVIDED,62202,Can't click on student's name in forums if it contains an apostraphe PATCH PROVIDED,click student name forum contains apostraphe patch provided,2
31777	How to post a public announcement in sakai cle 2.9.1,31777,How to post a public announcement in sakai cle 2.9.1,post public announcement sakai cle,8
31773	Messages Read -> Date leads instructors to believe it is message read date instead of topic posted date,31773,Messages Read -> Date leads instructors to believe it is message read date instead of topic posted date,message read date lead instructor believe message read date instead topic posted date,12
27418	roster2 tool doesn't work for IE,27418,roster2 tool doesn't work for IE,roster tool work ie,10
31765	Job to publish and unpublish sites based on a site property,31765,Job to publish and unpublish sites based on a site property,job publish unpublish site based site property,14
49307	Questions with dollar sign symbol fails to provide downloadable pdf,49307,Questions with dollar sign symbol fails to provide downloadable pdf,question dollar sign symbol fails provide downloadable pdf,11
31823	Ambiguous Visual Cue Upon Score Adjustment,31823,Ambiguous Visual Cue Upon Score Adjustment,ambiguous visual cue upon score adjustment,10
49303	Inappropriate use of System.out.println,49303,Inappropriate use of System.out.println,inappropriate use system println,10
27395	Exporting multiple files,27395,Exporting multiple files,exporting multiple file,5
45083	help.hide property no longer works as expected,45083,help.hide property no longer works as expected,help hide property longer work expected,15
36223	Insert in assignments interface that max size for submitted file is 20 Mb,36223,Insert in assignments interface that max size for submitted file is 20 Mb,insert assignment interface max size submitted file mb,6
62195	Add option to show the Read count in Forum messages,62195,Add option to show the Read count in Forum messages,add option show read count forum message,2
19638	Extend the Mneme Entity Broker Feed to include direct assessment Url,19638,Extend the Mneme Entity Broker Feed to include direct assessment Url,extend mneme entity broker feed include direct assessment url,8
19119	Add a direct link to Canvas from within CTools,19119,Add a direct link to Canvas from within CTools,add direct link canvas within ctools,14
36216	Could not open the portal page after completing the installations,36216,Could not open the portal page after completing the installations,could open portal page completing installation,16
22920	Change HTML warning popup box to be more of a notice than a warning,22920,Change HTML warning popup box to be more of a notice than a warning,change html warning popup box notice warning,0
49288	Some site language settings break SiteStats reports,49288,Some site language settings break SiteStats reports,site language setting break sitestats report,20
45071	Maintain submission history for assignments that includes submission contents,45071,Maintain submission history for assignments that includes submission contents,maintain submission history assignment includes submission content,17
"36210	""Rename """"Page Order"""" to something that better belies what it does""",36210,"""Rename """"Page Order"""" to something that better belies what it does""",rename page order something better belies,16
49325	UPLOAD FILE - i18N -  there is no property - ,49325,UPLOAD FILE - i18N -  there is no property - ,upload file property,5
45053	Turing the presence function off for a specific site only,45053,Turing the presence function off for a specific site only,turing presence function specific site,14
"53639	""Leaving a joinable site via Site-info displays """"Do you want to join this site"""" message again. """,53639,"""Leaving a joinable site via Site-info displays """"Do you want to join this site"""" message again. """,leaving joinable site via site info display want join site message,14
45050	Webdav encoding issue with Finder in OS X,45050,Webdav encoding issue with Finder in OS X,webdav encoding issue finder o x,0
36256	UserDirectoryService could use a way to return all userid's,36256,UserDirectoryService could use a way to return all userid's,userdirectoryservice could use way return userid,10
22904	unable to add member to existing group with new role type in site,22904,unable to add member to existing group with new role type in site,unable add member existing group new role type site,14
40646	Detect mixed-content in wiki links,40646,Detect mixed-content in wiki links,detect mixed content wiki link,15
12261	view report / sort returned results,12261,view report / sort returned results,view report sort returned result,20
62221	Maintain user check is not correct: Cannot inactivate last user with role 'Instructor',62221,Maintain user check is not correct: Cannot inactivate last user with role 'Instructor',maintain user check correct cannot inactivate last user role instructor,18
"22886	""Feature Request: Allow user to set """"new window"""" when editing a Web Content link in Site Info - Page Order""",22886,"""Feature Request: Allow user to set """"new window"""" when editing a Web Content link in Site Info - Page Order""",feature request allow user set new window editing web content link site info page order,15
"62215	""Feature Request: Allow user to set """"new window"""" when adding a Web Content link in Site Info - Edit Tools""",62215,"""Feature Request: Allow user to set """"new window"""" when adding a Web Content link in Site Info - Edit Tools""",feature request allow user set new window adding web content link site info edit tool,15
45017	Duplicated entry for gen.group,45017,Duplicated entry for gen.group,duplicated entry gen group,7
57869	New Webservices from rsmart/ANI/Scriba code,57869,New Webservices from rsmart/ANI/Scriba code,new webservices rsmart ani scriba code,10
53605	Support ContentHostingService as a FileSystemProvider,53605,Support ContentHostingService as a FileSystemProvider,support contenthostingservice filesystemprovider,10
40655	Add ability for external tool to construct context-only reverse LTI Launches to themselves via Content Item,40655,Add ability for external tool to construct context-only reverse LTI Launches to themselves via Content Item,add ability external tool construct context reverse lti launch via content item,19
22908	Unable to change meeting type in Sign-up tool,22908,Unable to change meeting type in Sign-up tool,unable change meeting type sign tool,10
22896	Bulk print a completed assessment,22896,Bulk print a completed assessment,bulk print completed assessment,0
27352	Provide a link in the email notification message that goes directly to the current message instead of the main page in Messages Tool,27352,Provide a link in the email notification message that goes directly to the current message instead of the main page in Messages Tool,provide link email notification message go directly current message instead main page message tool,3
62216	ask for confirmation when Joinable Group is deleted,62216,ask for confirmation when Joinable Group is deleted,ask confirmation joinable group deleted,7
31802	Dropbox gives lock error when expanding archive and removing archives and expanded archives,31802,Dropbox gives lock error when expanding archive and removing archives and expanded archives,dropbox give lock error expanding archive removing archive expanded archive,10
12368	Template replacement doesn't work for manual emails,12368,Template replacement doesn't work for manual emails,template replacement work manual email,16
11452	Update icons to use Font Awesome,11452,Update icons to use Font Awesome,update icon use font awesome,9
22847	Support a specific icon for every LTI tool and Placement,22847,Support a specific icon for every LTI tool and Placement,support specific icon every lti tool placement,10
44982	Provide keitai service to get all polls of a user,44982,Provide keitai service to get all polls of a user,provide keitai service get poll user,18
31759	Calendar / order items ending at same time,31759,Calendar / order items ending at same time,calendar order item ending time,0
40652	Allow for item names to be changed,40652,Allow for item names to be changed,allow item name changed,10
53571	Exporting & importing questions to lessons,53571,Exporting & importing questions to lessons,exporting importing question lesson,1
36229	Make edit/delete comments time configurable,36229,Make edit/delete comments time configurable,make edit delete comment time configurable,0
22880	Add allow retake to Question function in Lessons,22880,Add allow retake to Question function in Lessons,add allow retake question function lesson,1
62140	Assignments / grade report,62140,Assignments / grade report,assignment grade report,20
36224	Release and bind to Sakai Maven Plugin 1.4.2,36224,Release and bind to Sakai Maven Plugin 1.4.2,release bind sakai maven plugin,0
22856	Customize tabs / unable to hide all sites,22856,Customize tabs / unable to hide all sites,customize tab unable hide site,14
40614	NumberFormatException after clicking the Statistics button,40614,NumberFormatException after clicking the Statistics button,numberformatexception clicking statistic button,10
36180	The resource with chinese file name download error,36180,The resource with chinese file name download error,resource chinese file name download error,5
31764	Roster profile popup doesn't render Chinese characters properly.,31764,Roster profile popup doesn't render Chinese characters properly.,roster profile popup render chinese character properly,18
40605	NullPointerException on timed test with default score,40605,NullPointerException on timed test with default score,nullpointerexception timed test default score,13
22829	Add answer randomization for parts,22829,Add answer randomization for parts,add answer randomization part,14
62154	Bookmark / link to where you were previously,62154,Bookmark / link to where you were previously,bookmark link previously,10
"57904	""Remove the """"Home"""" tool from the Default Site Setup and leave the top position to new sites to be the ashboard""",57904,"""Remove the """"Home"""" tool from the Default Site Setup and leave the top position to new sites to be the ashboard""",remove home tool default site setup leave top position new site ashboard,14
40594	Implement LTI2 tool provider,40594,Implement LTI2 tool provider,implement lti tool provider,10
11713	Null values in EVAL_EVALUATION.INSTRUCTOR_VIEW_ALL_RESULTS cause NullPointerExceptions in PDF reports,11713,Null values in EVAL_EVALUATION.INSTRUCTOR_VIEW_ALL_RESULTS cause NullPointerExceptions in PDF reports,null value eval_evaluation instructor_view_all_results cause nullpointerexceptions pdf report,20
36150	Assignments / non electronic apply grade to ungraded does not work,36150,Assignments / non electronic apply grade to ungraded does not work,assignment non electronic apply grade ungraded work,6
45020	Checkboxes unchecks when expanding folder,45020,Checkboxes unchecks when expanding folder,checkboxes unchecks expanding folder,0
49225	Sitestats connection not closing ,49225,Sitestats connection not closing ,sitestats connection closing,10
36203	Roster2 Sort Icon Missing,36203,Roster2 Sort Icon Missing,roster sort icon missing,10
62134	Improve error message when maintainer doesn't have signup.attend permission,62134,Improve error message when maintainer doesn't have signup.attend permission,improve error message maintainer signup attend permission,3
31716	Create access key for direct access to grade field in Assignments.,31716,Create access key for direct access to grade field in Assignments.,create access key direct access grade field assignment,6
53590	New column to mark assignments that include comments in the assignment's submission list page,53590,New column to mark assignments that include comments in the assignment's submission list page,new column mark assignment include comment assignment submission list page,6
22884	Height of embedded content in imported Lessons page is different from the exported page. ,22884,Height of embedded content in imported Lessons page is different from the exported page. ,height embedded content imported lesson page different exported page,16
53580	Post Gradebook items to Schedule?,53580,Post Gradebook items to Schedule?,post gradebook item schedule,2
44961	Webpage layout in IE 11,44961,Webpage layout in IE 11,webpage layout ie,10
22883	Report tool ids show sakai.resources when non resource tool events are being displayed,22883,Report tool ids show sakai.resources when non resource tool events are being displayed,report tool id show sakai resource non resource tool event displayed,5
44958	Option format is not copied properly when copy from Pool for Extended Matching Question,44958,Option format is not copied properly when copy from Pool for Extended Matching Question,option format copied properly copy pool extended matching question,11
"44953	""Sign-up doesnt honor """"Privacy Status""""""",44953,"""Sign-up doesnt honor """"Privacy Status""""""",sign doesnt honor privacy status,0
62133	JavaScript error occurs when clicking checkboxes before page fully rendered,62133,JavaScript error occurs when clicking checkboxes before page fully rendered,javascript error occurs clicking checkboxes page fully rendered,16
22842	Question pool / questions on published assessment not updated after retracted,22842,Question pool / questions on published assessment not updated after retracted,question pool question published assessment updated retracted,11
19393	Test Center: Export Summary takes 3 minutes to generate,19393,Test Center: Export Summary takes 3 minutes to generate,test center export summary take minute generate,13
49247	report on individual tool / LHS page menu accesses,49247,report on individual tool / LHS page menu accesses,report individual tool lh page menu access,20
19268	Large Random Draw question pool takes long time to export summary,19268,Large Random Draw question pool takes long time to export summary,large random draw question pool take long time export summary,11
62142	podcast shows delete / revise links inappropriately,62142,podcast shows delete / revise links inappropriately,podcast show delete revise link inappropriately,10
62139	issues with separate content domain,62139,issues with separate content domain,issue separate content domain,15
19263	 Test Center does not display answers to text (essay) questions in Summary of Data ,19263, Test Center does not display answers to text (essay) questions in Summary of Data ,test center display answer text essay question summary data,11
36145	Reply email subject mismatch when multiple tabs open,36145,Reply email subject mismatch when multiple tabs open,reply email subject mismatch multiple tab open,10
31727	Poor error message reporting when uploading a resource that is past the limit when using file browser upload,31727,Poor error message reporting when uploading a resource that is past the limit when using file browser upload,poor error message reporting uploading resource past limit using file browser upload,5
57816	Ability for a instructor to block time slots for different purposes making those slots not available for students from the site,57816,Ability for a instructor to block time slots for different purposes making those slots not available for students from the site,ability instructor block time slot different purpose making slot available student site,14
44919	Create New User Dialog Box Email TextBox Behavior,44919,Create New User Dialog Box Email TextBox Behavior,create new user dialog box email textbox behavior,18
40608	Site properties editor inserts HTML (BRs) into unrelated property values,40608,Site properties editor inserts HTML (BRs) into unrelated property values,site property editor insert html br unrelated property value,14
36159	Fix sakai.motd tool so it does not use an iframe,36159,Fix sakai.motd tool so it does not use an iframe,fix sakai motd tool use iframe,10
"36148	""Use date&time picker for """"Sign-up begins"""" and """"Sign-up ends""""""",36148,"""Use date&time picker for """"Sign-up begins"""" and """"Sign-up ends""""""",use date time picker sign begin sign end,12
31667	Students should be allowed to Add Comments Tool ,31667,Students should be allowed to Add Comments Tool ,student allowed add comment tool,14
62071	Assignments Peer Review add ability to allow reviewer to resubmit,62071,Assignments Peer Review add ability to allow reviewer to resubmit,assignment peer review add ability allow reviewer resubmit,6
62067	Identify students that need to be graded in the 'Assignments list by student' view ,62067,Identify students that need to be graded in the 'Assignments list by student' view ,identify student need graded assignment list student view,6
36142	Sites disappear for users with > 999 sites after viewing Resources (Patch Provided),36142,Sites disappear for users with > 999 sites after viewing Resources (Patch Provided),site disappear user site viewing resource patch provided,14
36141	Lessons create folders in Resources - testfest 10.4-rc01 ,36141,Lessons create folders in Resources - testfest 10.4-rc01 ,lesson create folder resource testfest rc,1
62122	Implement a PickableProducer for Signup tool,62122,Implement a PickableProducer for Signup tool,implement pickableproducer signup tool,10
18834	Update CTDEV to point to cosign-test environment,18834,Update CTDEV to point to cosign-test environment,update ctdev point cosign test environment,9
44920	Prerequisite option ignored if user does not select require on all prerequisites,44920,Prerequisite option ignored if user does not select require on all prerequisites,prerequisite option ignored user select require prerequisite,18
27305	Add more time to test in progress,27305,Add more time to test in progress,add time test progress,13
40562	Assignments/Lessons: Prerequisite leads to alert for group submission,40562,Assignments/Lessons: Prerequisite leads to alert for group submission,assignment lesson prerequisite lead alert group submission,17
27300	Allow import of excel spreadsheet for sign-up tool,27300,Allow import of excel spreadsheet for sign-up tool,allow import excel spreadsheet sign tool,10
22781	Allow instructors to release only incorrectly answered questions,22781,Allow instructors to release only incorrectly answered questions,allow instructor release incorrectly answered question,11
57805	Simultaneous grading in Assignments can result in overwriting of instructor comments,57805,Simultaneous grading in Assignments can result in overwriting of instructor comments,simultaneous grading assignment result overwriting instructor comment,6
62100	rubric for assignment,62100,rubric for assignment,rubric assignment,17
57863	Cannot upload gzipped files via WebDAV using Konqueror on OpenSuse,57863,Cannot upload gzipped files via WebDAV using Konqueror on OpenSuse,cannot upload gzipped file via webdav using konqueror opensuse,5
49212	Audio files don't all load if grading page has many audio clips ,49212,Audio files don't all load if grading page has many audio clips ,audio file load grading page many audio clip,5
44905	recording time in seconds not always accurate compared to actual recording,44905,recording time in seconds not always accurate compared to actual recording,recording time second always accurate compared actual recording,10
44957	All enitybroker responses are specified as being public by default,44957,All enitybroker responses are specified as being public by default,enitybroker response specified public default,15
31689	Copyrighted resources would display 404 on Lessons if open in new window - tested on q10,31689,Copyrighted resources would display 404 on Lessons if open in new window - tested on q10,copyrighted resource would display lesson open new window tested q,1
12660	Mean is not calculated correctly.  Ignores Ideal Question selection,12660,Mean is not calculated correctly.  Ignores Ideal Question selection,mean calculated correctly ignores ideal question selection,11
31684	Attachments are duplicated when editing published EMI questions,31684,Attachments are duplicated when editing published EMI questions,attachment duplicated editing published emi question,11
49205	site duplicate still not handling /direct links fully,49205,site duplicate still not handling /direct links fully,site duplicate still handling direct link fully,14
31661	Signup Email All should use Email tool,31661,Signup Email All should use Email tool,signup email use email tool,10
15975	The Media Gallery is not enabled. Your system administrator needs to enable it in the configuration. ,15975,The Media Gallery is not enabled. Your system administrator needs to enable it in the configuration. ,medium gallery enabled system administrator need enable configuration,0
31648	How to create html page with video link after upload video in content tool.,31648,How to create html page with video link after upload video in content tool.,create html page video link upload video content tool,15
27212	Assignment - allow resubmission bug,27212,Assignment - allow resubmission bug,assignment allow resubmission bug,6
62107	Showing of tool navigation bar not consistent across portal,62107,Showing of tool navigation bar not consistent across portal,showing tool navigation bar consistent across portal,10
53542	Add ability to filter LRS statement creation by event type,53542,Add ability to filter LRS statement creation by event type,add ability filter lr statement creation event type,13
19639	Implement CoreEntityProvider for Melete,19639,Implement CoreEntityProvider for Melete,implement coreentityprovider melete,10
31698	fixes to jforum for Sakai 11 / morpheus,31698,fixes to jforum for Sakai 11 / morpheus,fix jforum sakai morpheus,10
40546	Resources won't expand on report if 'Limit to Resources' is checked,40546,Resources won't expand on report if 'Limit to Resources' is checked,resource expand report limit resource checked,5
22745	Add URL submission type; support Open Graph,22745,Add URL submission type; support Open Graph,add url submission type support open graph,14
31665	Remove CSV option and add all text data into excel for assignment upload,31665,Remove CSV option and add all text data into excel for assignment upload,remove csv option add text data excel assignment upload,6
40584	Gradebook - Exception not caught when two Instructors grade the same assignment,40584,Gradebook - Exception not caught when two Instructors grade the same assignment,gradebook exception caught two instructor grade assignment,6
36122	Assignment resubmission not allowed,36122,Assignment resubmission not allowed,assignment resubmission allowed,6
53445	Links to Forums in synoptic tool don't work if tool is hidden but accesible,53445,Links to Forums in synoptic tool don't work if tool is hidden but accesible,link forum synoptic tool work tool hidden accesible,10
36115	Uploading Gradebook with upper-case userEids crashes tool,36115,Uploading Gradebook with upper-case userEids crashes tool,uploading gradebook upper case usereids crash tool,2
22730	Update QTI Export of Tests & Quizzes,22730,Update QTI Export of Tests & Quizzes,update qti export test quiz,9
49170	timestamp.txt File Not Matching Actual Submission Date/Time ,49170,timestamp.txt File Not Matching Actual Submission Date/Time ,timestamp txt file matching actual submission date time,12
36079	Duplicate rows being inserted into SST_EVENTS,36079,Duplicate rows being inserted into SST_EVENTS,duplicate row inserted sst_events,10
"18697	""Test Center """"Summary of Data"""" regression""",18697,"""Test Center """"Summary of Data"""" regression""",test center summary data regression,13
62047	Calculated Question - Preview doesn't let you fill in an answer,62047,Calculated Question - Preview doesn't let you fill in an answer,calculated question preview let fill answer,11
53444	Unexpected behaviour when Gradebook Item is de-coupled from ASN tool,53444,Unexpected behaviour when Gradebook Item is de-coupled from ASN tool,unexpected behaviour gradebook item de coupled asn tool,2
44854	Simplified Chinese translation for profile2's email templates,44854,Simplified Chinese translation for profile2's email templates,simplified chinese translation profile email template,16
40488	Improve the UI of ETS,40488,Improve the UI of ETS,improve ui ets,16
36028	Site-management: use ETS method to load templates,36028,Site-management: use ETS method to load templates,site management use ets method load template,16
27203	Improve the compatibility of templates loading in ETS,27203,Improve the compatibility of templates loading in ETS,improve compatibility template loading ets,16
22713	Forums / imported URL attachments 404 error,22713,Forums / imported URL attachments 404 error,forum imported url attachment error,2
53477	sakai 10.x : patch to add french translation for html files in reference module,53477,sakai 10.x : patch to add french translation for html files in reference module,sakai x patch add french translation html file reference module,9
44878	Make the Profile Tool menu conform to the markup patterns for its menu,44878,Make the Profile Tool menu conform to the markup patterns for its menu,make profile tool menu conform markup pattern menu,10
"18927	""My Courses displays incorrect course instructor for """"instructor-less"""" courses""",18927,"""My Courses displays incorrect course instructor for """"instructor-less"""" courses""",course display incorrect course instructor instructor le course,7
27150	Improved encoding correction,27150,Improved encoding correction,improved encoding correction,0
"15966	""Kaltura video is not played on """"site info display"""" shown as an image""",15966,"""Kaltura video is not played on """"site info display"""" shown as an image""",kaltura video played site info display shown image,14
53437	Post buffer bypass WARN in PDAHandler ,53437,Post buffer bypass WARN in PDAHandler ,post buffer bypass warn pdahandler,0
22706	Message Center Notifications links take user to desktop Sakai portal even when in PDA portal,22706,Message Center Notifications links take user to desktop Sakai portal even when in PDA portal,message center notification link take user desktop sakai portal even pda portal,18
19192	Allow site owners to disable Friend Account invitation notifications at the site level,19192,Allow site owners to disable Friend Account invitation notifications at the site level,allow site owner disable friend account invitation notification site level,14
